Title,Artist,Album
Kal Ho Naa Ho,"Shankar-Ehsaan-Loy, Sonu Nigam",Kal Ho Naa Ho (Original Motion Picture Soundtrack)
Maahi Ve,"Shankar-Ehsaan-Loy, Sadhana Sargam, Sujata Bhattacharya, Udit Narayan, Sonu Nigam",Kal Ho Naa Ho (Original Motion Picture Soundtrack)
Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma",My Name Is Khan (Original Motion Picture Soundtrack [Deluxe Edition])
Zinda,"Shankar-Ehsaan-Loy, Siddharth Mahadevan",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack)
Race 2 - Kiran Kamath Mashup,"Shefali Alvares, Yo Yo Honey Singh, Benny Dayal, Shalmali Kholgade, Vishal Dadlani, Pritam, Atif Aslam, Anushka Manchanda, Kiran Kamath",Race 2 (Original Motion Picture Soundtrack)
Meherbaan,"Shilpa Rao, Ash King, Shekhar Ravjiani",Bang Bang (Original Motion Picture Soundtrack)
Dhoom Taana,"Shreya Ghoshal, Abhijeet",Om Shanti Om
Rozana,"Shreya Ghoshal, Rochak Kohli","Rozana (From ""Naam Shabana"")"
Sunn Raha Hai (Female Version),Shreya Ghoshal,Aashiqui 2
Balma,"Shriram, Shreya Ghoshal",Khiladi 786
Mar Jawaan,"Shruti Pathak, Salim Merchant",Fashion
Jashn-e-Ishqa,"Sohail Sen, Javed Ali, Shadab Faridi, Irshad Kamil",Gunday
Ambarsariya,Sona Mohapatra,Fukrey
Dupatta Tera Nau Rang Da,"Sonu Nigam, Kunal Ganjawala, Shreya Ghoshal, Suzi Q",Partner
Main Agar Kahoon,"Sonu Nigam, Shreya Ghoshal",Om Shanti Om
Pal Pal Har Pal,"Sonu Nigam, Shreya Ghoshal",Lage Raho Munna Bhai
Papa Meri Jaan,"Sonu Nigam, Harshavardhan Rameshwar, Raj Shekhar",ANIMAL
Tumse Milke Dil Ka,"Sonu Nigam, Sabri Brothers",Main Hoon Na
Pani Da Rang - Female Vocals,Sukanya Purkayastha,Vicky Donor (Original Motion Picture Soundtrack)
OH HO HO HO (Original Song),Sukhbir,OH HO HO HO (Original Song)
Hud Hud Dabangg,"Sukhwinder Singh, Wajid",Dabangg
Patakha Guddi,"Sultana, Jyoti Nooran",Highway
Muskaanein Jhooti Hai,Suman Sridhar,Talaash
Lae Dooba,Sunidhi Chauhan,Aiyaary (Original Motion Picture Soundtrack)
Navrai Majhi,"Sunidhi Chauhan, Natali Di Luccio, Neelambari Kirkire, Swanand Kirkire",English Vinglish
Oh Girl You're Mine .,"Tarun Sagar, Alyssa Mendonsa, Loy Mendonsa",Housefull
"Hum Mar Jayenge (From ""Aashiqui 2"")","Tulsi Kumar, Arijit Singh",Love Songs By Tulsi Kumar - Valentine's Special
Mujhe Ishq Se,"Tulsi Kumar, Gajendra Verma",Yaariyan
Piya Aaye Na,"Tulsi Kumar, KK",Aashiqui 2
Tanhaai,"Tulsi Kumar, Sachet-Parampara",Tanhaai
Tu Hai Ki Nahi (Unplugged),Tulsi Kumar,Roy
"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma, Kunaal Vermaa","Malang (Title Track) [From ""Malang - Unleash The Madness""]"
Malang (Title Track),Ved Sharma,Malang - Unleash The Madness
Lage Raho Munna Bhai,"Vinod Rathod, Sanjivni",Lage Raho Munna Bhai
Jee Le Zaraa,Vishal Dadlani,Talaash
Tu Meri,Vishal Dadlani,Bang Bang (Original Motion Picture Soundtrack)
Kaise Hua,Vishal Mishra,Kabir Singh
Pehla Pyaar,"Vishal Mishra, Armaan Malik",Kabir Singh
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",ANIMAL
Fakira,"Vishal-Shekhar, Sanam Puri, Neeti Mohan",Student of the Year 2 (Original Motion Picture Soundtrack)
"Ghungroo (From ""War"")","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")"
Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack)
Khuda Jaane,"Vishal-Shekhar, KK, Shilpa Rao, Anvita Dutt Guptan",Bachna Ae Haseeno
Zehnaseeb,"Vishal-Shekhar, Chinmayi, Shekhar Ravjiani",Hasee Toh Phasee (Original Motion Picture Soundtrack)
"Makhna - From ""Drive""","Yasser Desai, Tanishk Bagchi, Asees Kaur","Makhna (From ""Drive"")"
Brown Rang,Yo Yo Honey Singh,International Villager
Desi Kalakaar,Yo Yo Honey Singh,Desi Kalakaar
Dheere Dheere,Yo Yo Honey Singh,Dheere Dheere
Manali Trance,"Yo Yo Honey Singh, Neha Kakkar",The Shaukeens (Original Motion Picture Soundtrack)
Sunny Sunny,"Yo Yo Honey Singh, Neha Kakkar",Yaariyan
Yaar Naa Miley,"Yo Yo Honey Singh, Jasmine Sandlas",Kick
